anomes;datetime;vento_u_superficie;precipitacao
202211;01/11/2022 00:00;-0.91212744;0
202211;01/11/2022 03:00;0.34159246;0
202211;01/11/2022 06:00;-0.5966686;0
202211;01/11/2022 09:00;-10.590.656;0
202211;01/11/2022 12:00;16.407.923;0
202211;01/11/2022 15:00;43.339.996;0.00025410933
202211;01/11/2022 18:00;1.291.016;0
202211;01/11/2022 21:00;17.575.341;0
202211;02/11/2022 00:00;15.504.184;0
202211;02/11/2022 03:00;-0.89856255;0
202211;02/11/2022 06:00;-0.23275125;0.00022481155
202211;02/11/2022 09:00;-0.58963716;0
202211;02/11/2022 12:00;15.811.127;0
202211;02/11/2022 15:00;-18.834.267;0
202211;02/11/2022 18:00;16.552.263;0
202211;02/11/2022 21:00;-0.24350353;0
202211;03/11/2022 00:00;0.51925415;0
202211;03/11/2022 03:00;12.601.655;0
202211;03/11/2022 06:00;-0.17831598;0
202211;03/11/2022 09:00;-12.802.246;0
202211;03/11/2022 12:00;-0.6678622;0
202211;03/11/2022 15:00;12.776.171;0
202211;03/11/2022 18:00;-15.958.593;0
202211;03/11/2022 21:00;0.8081008;0
202211;04/11/2022 00:00;-0.40763938;0
202211;04/11/2022 03:00;0.89314246;0.0030505813
202211;04/11/2022 06:00;-16.999.347;0
202211;04/11/2022 09:00;-24.454.653;0
202211;04/11/2022 12:00;-108.683;0
202211;04/11/2022 15:00;0.5988659;0
202211;04/11/2022 18:00;60.049.586;0.000053614916
202211;04/11/2022 21:00;-0.76917386;0.00039083225
202211;05/11/2022 00:00;11.743.621;0.00022949919
202211;05/11/2022 03:00;0.06861538;0
202211;05/11/2022 06:00;0.7915378;0
202211;05/11/2022 09:00;17.898.105;0
202211;05/11/2022 12:00;0.8846461;0
202211;05/11/2022 15:00;15.297.244;0
202211;05/11/2022 18:00;-21.078.963;0
202211;05/11/2022 21:00;-1.173.151;0.00070216984
202211;06/11/2022 00:00;-21.654.959;0
202211;06/11/2022 03:00;-0.15196753;0
202211;06/11/2022 06:00;-0.27740103;0
202211;06/11/2022 09:00;-0.875222;0
202211;06/11/2022 12:00;-0.1532664;0.0026790856
202211;06/11/2022 15:00;-0.15110813;0
202211;06/11/2022 18:00;-1.400.072;0
202211;06/11/2022 21:00;-0.62957;0
202211;07/11/2022 00:00;-19.236.426;0
202211;07/11/2022 03:00;59.080.515;0.00011230812
202211;07/11/2022 06:00;-19.245.704;0
202211;01/11/2022 00:00;-0.65935606;0
202211;01/11/2022 03:00;0.7915378;0
202211;01/11/2022 06:00;-20.110.378;0
202211;01/11/2022 09:00;-19.794.842;0
202211;01/11/2022 12:00;14.839.516;0
202211;01/11/2022 15:00;-21.654.959;0
202211;01/11/2022 18:00;-0.1532664;0
202211;01/11/2022 21:00;35.598.156;0
202211;02/11/2022 00:00;-0.62957;0
202211;02/11/2022 03:00;15.811.127;0.00022481155
202211;02/11/2022 06:00;-0.5778985;0
202211;02/11/2022 09:00;-15.958.593;0.00008291269
202211;02/11/2022 12:00;12.776.171;0
202211;02/11/2022 15:00;-0.4477871;0
